Tipe Silang,Tgl Beli,No LPB,Sales Beli,Supplier,Nama Barang,Qty Silang,HPP Beli,Tgl Jual,No SJ,Sales Jual,Customer
BC dipakai PF,2026-02-10,KB-LPBD-10022026-001,BC,"PT INTI CAKRAWALA CITRA","Kit Kat Chocolate Drink 220Ml X 24",75,194594.6,2026-04-01,SJ-298-11032026-002,PF,"METRO IMPEX MAKMUR"
BC dipakai PF,2026-02-11,KB-LPBD-11022026-001,BC,"PT INTI CAKRAWALA CITRA","Kit Kat Chocolate Drink 220Ml X 24",925,194594.6,2026-04-01,SJ-298-11032026-002,PF,"METRO IMPEX MAKMUR"
BC dipakai PF,2026-01-30,KB-LPB-30012026-005,BC,"LOTTE MART GANDARIA CITY","Sunlight 610Ml",50,87000,2026-04-01,SJ-960-01042026-009,PF,"BU AYU "
BC dipakai PF,2026-03-12,KB-LPBD-20260316006,BC,"PT LOTTE MART INDONESIA","Gatsby Facewash Oil Control 100Grx36",4,600000,2026-04-01,SJ-840-10032026-003,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-03-12,KB-LPBD-20260313-005,BC,"PT LOTTE MART INDONESIA","Gatsby Facewash Clear Whitening 100Grx36",5,600000,2026-04-01,SJ-840-10032026-003,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-03-12,KB-LPBD-20260313-005,BC,"PT LOTTE MART INDONESIA","Gatsby Facewash Skin Triple Protection 100Grx36",15,600000,2026-04-01,SJ-840-10032026-003,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-03-12,KB-LPBD-20260313-005,BC,"PT LOTTE MART INDONESIA","Gatsby Facewash Clear Whitening 100Grx36",30,600000,2026-04-01,SJ-262-02042026-003,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-03-12,KB-LPBD-20260313-005,BC,"PT LOTTE MART INDONESIA","Gatsby Facewash Perfect Clean 100Grx36",16,600000,2026-04-01,SJ-262-02042026-003,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-03-12,KB-LPBD-20260313-005,BC,"PT LOTTE MART INDONESIA","Gatsby Facewash Skin Triple Protection 100Grx36",25,600000,2026-04-01,SJ-262-02042026-003,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-03-12,KB-LPBD-20260316006,BC,"PT LOTTE MART INDONESIA","Gatsby Facewash Oil Control 100Grx36",25,600000,2026-04-01,SJ-262-02042026-003,PF,"PT. RAJA IMPEX"
PF dipakai BC,2026-01-15,KB-LPBD-15012026-001,PF,"Lotte Mart Fatmawati","Sedaap Mie Goreng Isi 5 Bag 90Gr 8 X 5 X 91 Gr",1,88648.65,2026-04-02,SJ-573-02042026-004,BC,"PT MEGA PROSINDO"
PF dipakai BC,2026-01-30,KB-LPB-30012026-003,PF,"Hypermart - Supermal Karawaci","Youc1000 Orange 140ML",300,139980,2026-04-02,SJ-105-01042026-011,BC,"ALDO "
PF dipakai BC,2026-01-30,KB-LPB-30012026-003,PF,"Hypermart - Supermal Karawaci","Youc1000 Orange 140ML",499,139980,2026-04-02,SJ-200-02042026-004,BC,"ANGEL"
BC dipakai PF,2026-01-30,KB-LPB-30012026-002,BC,"LOTTE MART BINTARO","Sunlight 610Ml",150,87000,2026-04-02,SJ-437-02042026-010,PF,"BU AYU "
BC dipakai PF,2026-05-21,KB-LPBD-21052026-002,BC,"PT SEKAR WANGI ADA PERKASA","Attack Detergent Powder Hygiene + Protection 12X750Gr",200,207477.477,2026-04-04,SJ-595-04042026-001,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-05-21,KB-LPBD-21052026-002,BC,"PT SEKAR WANGI ADA PERKASA","Attack Softener 12X750Gr",70,207477.477,2026-04-04,SJ-595-04042026-001,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-05-04,KB-LPB-04052026-002,BC,"HYPERMART PURI INDAH ","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",1,655200,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-05-04,KB-LPB-04052026-006,BC,"HPM EKALOS","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-02-14,KB-LPB-14022026-001,BC,"Hypermart - Supermal Karawaci","Ellips Hair Vitamin Hair Shiny Black Blister (Hitam) 6x6x12",5,651600,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-02-19,KB-LPB-19022026-002,BC,"HYPERMART GOURMENT","Ellips Hair Vitamin Hair Shiny Black Blister (Hitam) 6x6x12",5,651600,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-02-14,KB-LPB-14022026-001,BC,"Hypermart - Supermal Karawaci","Ellips Hair Vitamin Hair Treatment Blister (Pink)",5,651600,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-02-19,KB-LPB-19022026-002,BC,"HYPERMART GOURMENT","Ellips Hair Vitamin Hair Treatment Blister (Pink)",5,651600,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-02-14,KB-LPB-14022026-001,BC,"Hypermart - Supermal Karawaci","Ellips Hair Vitamin Smooth &  Shiny Blister (Yellow)",6,651600,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-02-19,KB-LPB-19022026-002,BC,"HYPERMART GOURMENT","Ellips Hair Vitamin Smooth &  Shiny Blister (Yellow)",1,651600,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-03-31,KB-LPB-31032026-001,BC,"HYPERMART PURI INDAH ","Ellips Hair Vitamin Hair Shiny Black Jar (Hitam)",2,756000,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
BC dipakai PF,2026-03-31,KB-LPB-31032026-001,BC,"HYPERMART PURI INDAH ","Ellips Hair Vitamin Hair Treatment Jar (Pink)",3,756000,2026-04-04,SJ-616-04042026-005,PF,"FRESH MEN"
PF dipakai BC,2026-03-31,KB-LPBD-20260331-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Facewash Oil Control 100Grx36",4,650811,2026-04-06,SJ-537-06042026-006,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Deo Roll On Skyline Code 48X50Ml",10,619819.82,2026-04-06,SJ-537-06042026-006,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Deo Roll On Air Code 48X50Ml",10,619819.82,2026-04-06,SJ-537-06042026-006,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Deo Roll On Earth Code 48X50Ml",10,619819.82,2026-04-06,SJ-537-06042026-006,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-31,KB-LPBD-20260331-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Facewash Clear Whitening 100Grx36",20,650811,2026-04-06,SJ-537-06042026-006,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-30,KB-LPB-30012026-003,PF,"Hypermart - Supermal Karawaci","Youc1000 Orange 140ML",201,139980,2026-04-06,SJ-799-06042026-004,BC,"KOH ABUN ( DEPO SPIL )"
BC dipakai PF,2026-02-18,KB-LPBD-18022026-001,BC,"PT. Cahaya Karang Kencana","Milo Uht Milk 36X110Ml",225,88468.47,2026-04-06,SJ-331-12012026-009,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-02-02,KB-LPBD-02022026-008,BC,"Hypermart - Cyberpark Karawaci LKU","Abc Sambal Asli 335Ml",97,270270.27,2026-04-06,SJ-772-14012026-003,PF,"PT. BHAKTI KARYA DISTRIBUSI INDONESIA"
PF dipakai BC,2026-01-14,KB-LPBD-14012026-003,PF,"KUDO TEKNOLOGI INDONESIA","Abc Sambal St Extra Pedas",20,304504.5,2026-04-06,SJ-595-15012026-003,BC,"PT. FORTUNE REEF ZONA"
PF dipakai BC,2026-01-14,KB-LPBD-14012026-003,PF,"KUDO TEKNOLOGI INDONESIA","Abc Sambal Extra Pedas Botol 270Ml",300,218018.02,2026-04-06,SJ-595-15012026-003,BC,"PT. FORTUNE REEF ZONA"
PF dipakai BC,2026-02-24,KB-LPBD-24022026-003,PF,"PT. Cahaya Karang Kencana","Nescafe Kopi Classic 10X(60X2Gr)",100,625855.856,2026-04-06,SJ-508-15012026-005,BC,"PT. RAJA IMPEX"
BC dipakai PF,2026-01-30,KB-LPB-30012026-002,BC,"LOTTE MART BINTARO","Sunlight 610Ml",350,87000,2026-04-06,SJ-577-27032026-003,PF,"ANDI "
BC dipakai PF,2026-01-30,KB-LPB-30012026-002,BC,"LOTTE MART BINTARO","Sunlight 610Ml",100,87000,2026-04-06,SJ-944-01042026-012,PF,"BU LINDA (TAMAN SURYA)"
BC dipakai PF,2026-03-29,KB-LPB-20260329-002,BC,"PT MATAHARI PUTRA PRIMA","Youc1000 Orange 140ML",500,139980,2026-04-06,SJ-455-06042026-014,PF,"BU NIAR"
BC dipakai PF,2026-01-28,KB-LPBD-28012026-010,BC,"Hypermart Gandaria","Sedaap Mie Goreng Isi 5 Bag 90Gr 8 X 5 X 91 Gr",100,88288.29,2026-04-06,SJ-791-17012026-001,PF,"PT. FORTUNE REEF ZONA"
